Date_Of_Stop,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed,speed_limit,speed_over,percentage_over_limit,hour_of_day
12/30/2017,No,02 - Automobile,2015,BLACK,BLACK,M,MD,64,45,19,42.22222,22
12/30/2017,No,02 - Automobile,2010,BLACK,BLACK,M,MD,72,45,27,60,21
12/30/2017,No,02 - Automobile,2012,BLACK,BLACK,M,MD,49,40,9,22.5,21
12/30/2017,No,02 - Automobile,2006,GOLD,BLACK,M,MD,66,45,21,46.66667,23
12/30/2017,No,02 - Automobile,2006,GOLD,BLACK,M,MD,75,50,25,50,23
12/30/2017,No,02 - Automobile,2006,GOLD,BLACK,M,MD,52,35,17,48.57143,0
12/30/2017,No,02 - Automobile,2006,GOLD,BLACK,M,MD,49,40,9,22.5,20
12/30/2017,No,02 - Automobile,2006,GOLD,BLACK,M,MD,34,25,9,36,6
12/30/2017,No,02 - Automobile,1996,RED,HISPANIC,M,MD,44,35,9,25.71429,23
12/30/2017,No,02 - Automobile,1996,RED,HISPANIC,M,MD,52,30,22,73.33333,2
12/30/2017,No,02 - Automobile,1996,RED,HISPANIC,M,MD,70,55,15,27.27273,10
12/30/2017,No,02 - Automobile,1996,RED,HISPANIC,M,MD,69,50,19,38,8
12/30/2017,No,02 - Automobile,1996,RED,HISPANIC,M,MD,74,55,19,34.54545,9
12/30/2017,No,02 - Automobile,1996,RED,HISPANIC,M,MD,74,55,19,34.54545,9
12/30/2017,No,02 - Automobile,2003,BLACK,HISPANIC,F,MD,49,30,19,63.33333,7
12/30/2017,No,02 - Automobile,2003,BLACK,HISPANIC,F,MD,49,30,19,63.33333,8
12/30/2017,No,02 - Automobile,2010,SILVER,WHITE,F,MD,49,30,19,63.33333,8
12/30/2017,No,02 - Automobile,2009,GOLD,WHITE,M,MD,39,30,9,30,8
12/30/2017,No,02 - Automobile,2015,BLACK,ASIAN,F,MD,39,30,9,30,8
12/30/2017,No,02 - Automobile,2009,GOLD,WHITE,M,MD,39,30,9,30,9
12/30/2017,No,02 - Automobile,2008,BLACK,HISPANIC,M,MD,54,45,9,20,10
12/30/2017,No,02 - Automobile,2005,"GREEN, DK",BLACK,M,MD,54,45,9,20,11
12/30/2017,No,02 - Automobile,2008,BLACK,HISPANIC,M,MD,64,45,19,42.22222,11
12/30/2017,No,02 - Automobile,2005,"GREEN, DK",BLACK,M,MD,54,45,9,20,11
12/30/2017,No,02 - Automobile,2007,RED,HISPANIC,M,MD,64,45,19,42.22222,12
12/30/2017,No,02 - Automobile,2012,SILVER,WHITE,F,MD,54,45,9,20,12
12/30/2017,No,02 - Automobile,2012,SILVER,WHITE,F,MD,54,45,9,20,12
12/30/2017,No,02 - Automobile,2014,BLACK,BLACK,M,MD,54,45,9,20,12
12/30/2017,No,02 - Automobile,2014,WHITE,WHITE,F,MD,66,40,26,65,9
